findFlexsVals,197.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.935,0.145,0.179,0.218,0.503,0.659,1.637,1.719,2.164,1.833,2.109,0.187,0.403,0.807,0.227,0.154,0.186,0.388,2.273,2.146,2.056,0.169,0.213,0.316,0.166,0.164,1.893,0.278,0.148,0.67,0.161,0.192,0.199,0.166,0.148,0.173,0.132,0.173,0.203,0.129,0.234,0.162,0.144,0.152,0.15,0.268,0.279,0.769,0.752,1.956,1.711,0.833,2.127,2.052,0.332,0.172,0.3,1.251,0.164,0.161,0.158,0.195,0.71,1.571,1.604,1.591,0.131,0.217,0.165,0.295,0.304,0.65,0.62,0.171,0.171,0.254,0.885,2.062,0.741,0.414,0.202,0.251,0.173,0.917,0.178,0.653,0.328,0.177,0.169,0.201,0.747,0.238,0.194,0.174,0.306,0.85,1.974,0.192,0.218,0.719,0.331,0.305,1.704,0.8,0.319,0.319,0.154,0.827,0.712,0.739,0.319,0.142,0.173,0.401,0.22,0.214,0.716,0.727,0.653,0.343,0.793,0.296,0.339,0.814,2.012,1.696,0.721,2.068,1.921,0.299,0.402,0.36,1.802,1.761,1.782,0.283,0.346,1.79,0.697,0.221,0.32,0.238,0.29,1.944,0.793,0.169,0.689,1.772,0.172,0.3,1.85,1.554,1.632,1.897,0.308,0.147,1.733,0.617,1.502,1.998,0.883,1.655,1.527,0.365,2.109,1.851,1.562,1.789,0.732,0.322,1.76,1.769,3.017,2.049,1.801,0.806,0.378,0.888,0.76,0.449,0.754,1.764,1.958,1.936,1.82,1.993,0.801,0.329,1.752,1.88,0.692,0.633,0.626,0.646,1.616,1.611,1.652,1.583,1.765,1.517,1.704,2.592,2.862,2.434,0.855,2.732,2.912,2.671,0.79,1.689,1.741,1.633,1.595,1.874,1.841,0.809,
verifyRigidFormula,0.308,0.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,234.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,432.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.138,0.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.319,0.495,0.104,0.316,0.343,0.347,0.331,0.346,0.332,0.491,0.42,0.516,0.304,0.312,0.407,0.386,0.552,0.512,0.537,0.6,0.639,0.66,0.754,0.77,0.374,0.298,0.491,0.4,0.451,0.493,0.657,0.73,0.548,0.592,0.617,0.709,0.829,1.021,0.553,0.569,0.647,0.503,0.474,0.518,0.664,0.423,0.537,0.561,0.62,0.42,0.385,0.37,0.353,0.36,0.37,0.392,0.353,0.332,0.504,0.483,0.622,0.793,0.713,0.535,0.534,0.69,0.489,0.748,0.624,0.716,0.765,0.94,1.069,0.964,0.856,0.817,0.944,0.725,0.594,0.748,0.635,0.738,0.572,0.756,0.67,0.767,0.718,0.666,0.697,0.792,0.723,1.047,0.959,0.832,0.566,0.625,0.559,0.572,0.71,0.709,1.002,0.772,0.839,0.575,0.637,0.607,0.636,0.667,0.655,0.711,0.713,0.725,0.952,0.923,0.923,1.166,1.199,1.499,1.721,1.495,1.493,1.401,1.501,1.425,1.363,1.433,1.43,1.479,1.574,1.813,1.599,1.624,1.545,1.626,1.708,0.907,0.694,0.86,0.868,0.826,0.913,0.972,0.982,1.003,1.064,1.125,1.066,1.137,0.459,0.812,0.854,0.967,0.933,1.418,1.434,1.636,1.585,1.025,0.884,0.953,1.149,1.464,1.52,1.499,1.732,2.051,1.947,2.266,0.727,0.768,1.198,2.355,2.512,1.852,2.14,0.921,0.956,0.936,1.49,1.735,1.621,2.034,1.895,1.61,1.899,1.987,1.25,1.2,1.115,1.021,1.411,1.416,1.496,1.844,2.132,2.727,2.471,2.727,2.999,2.219,2.247,2.169,2.316,2.053,2.079,2.246,2.353,2.284,2.42,2.324,2.355,2.561,2.539,2.557,2.588,2.383,2.446
