findFlexsVals,656.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.133,0.138,0.582,0.373,0.455,0.357,0.464,0.426,0.518,0.521,0.448,0.449,1.89,0.625,0.288,0.609,0.95,0.41,0.285,0.334,0.155,0.539,0.281,0.133,1.962,1.02,0.139,5.891,0.187,0.591,0.159,0.151,0.405,0.392,0.49,0.97,0.491,0.422,1.877,0.511,0.942,0.153,0.45,0.94,0.569,0.546,0.95,0.915,0.334,0.131,0.553,0.444,0.506,0.544,0.942,0.62,0.57,0.294,0.132,0.164,0.915,0.823,0.135,0.905,1.795,0.582,0.348,0.13,0.507,0.496,0.493,0.132,0.151,1.93,1.732,0.32,6.132,1.889,0.968,1.107,0.147,0.314,1.876,0.304,0.871,2.049,1.878,0.142,0.193,0.169,0.452,0.44,0.341,0.307,0.387,0.463,0.496,0.906,1.904,0.719,0.858,0.862,0.431,0.547,1.952,6.112,0.131,0.556,0.534,0.519,0.14,1.803,1.942,2.112,0.182,0.501,0.989,0.921,1.082,0.951,1.26,6.688,1.594,6.322,0.414,0.359,0.364,0.346,0.874,0.143,0.584,0.548,1.882,0.929,1.996,6.397,6.265,6.323,1.982,1.882,1.806,1.835,6.654,0.346,0.376,0.364,0.335,0.994,0.971,0.992,1.941,0.512,0.588,1.869,1.849,0.279,0.874,0.881,0.364,0.475,0.515,0.545,0.512,0.368,0.398,0.47,0.157,0.326,0.338,0.344,0.393,0.324,0.428,0.395,0.385,0.819,0.164,0.391,0.398,0.483,1.044,0.592,0.599,0.367,0.577,1.974,5.901,5.993,1.003,0.941,6.645,6.374,1.991,0.924,1.88,0.567,0.569,0.523,0.522,0.622,0.469,0.313,1.044,6.334,2.094,0.865,1.619,0.332,6.097,0.658,0.868,0.973,0.72,0.613,0.663,0.645,1.937,6.199,0.554,0.499,0.49,6.299,0.458,0.627,0.816,0.875,0.842,0.908,0.886,0.49,0.521,0.84,0.839,0.459,0.787,0.467,0.832,0.922,0.912,0.835,0.515,0.491,0.537,0.404,0.851,0.38,0.497,0.768,0.89,0.778,0.843,0.498,0.543,0.47,0.452,0.535,0.562,1.878,5.695,5.875,1.824,0.566,0.532,0.411,0.812,0.509,0.55,0.561,0.461,0.489,0.824,0.506,0.474,0.342,0.834,0.334,0.345,0.351,0.376,0.454,0.473,1.854,5.866,5.657,0.391,0.449,5.957,0.875,0.786,0.506,0.638,0.826,0.781,1.825,0.857,0.486,1.948,0.604,0.529,0.808,0.58,0.561,0.592,0.841,0.518,0.888,0.868,1.928,1.651,0.469,1.898,0.935,0.81,0.542,0.506,1.851,0.915,0.93,0.869,1.716,1.871,1.696,2.016,0.663,1.583,1.796,2.23,1.794,0.932,0.901,6.511,6.735,0.758,0.37,6.102,5.632,1.94,6.305,0.611,0.489,0.601,1.701,5.97,6.165,6.393,5.908,5.741,6.215,1.896,0.514,0.552,0.652,0.608,0.57,0.621,6.332,6.434,0.53,1.895,1.909,0.879,6.015,0.45,0.455,0.84,0.91,0.837,0.876,6.436,6.576,0.893,1.719,1.967,6.591,0.897,1.683,1.93,5.697,5.978,0.927,0.893,0.479,0.521,0.359,1.942,0.906,0.534,0.399,0.455,0.391,0.418,0.386,0.786,0.901,1,0.792,0.995,0.961,0.43,0.624,6.107,5.618,0.467,0.66,0.568,0.488,0.423,0.476,0.585,0.384,0.456,5.893,5.957,1.949,1.777,1.757,6.331,0.586,0.958,0.518,0.607,0.504,0.501,0.881,0.838,6.514,0.552,0.829,0.445,5.694,5.902,1.583,1.702,1.842,1.956,0.404,0.526,0.369,0.871,0.585,0.846,0.397,0.885,0.887,0.85,0.838,0.887,0.361,0.9,0.369,0.505,0.536,0.568,0.605,0.867,0.936,0.383,0.567,0.517,0.371,0.649,0.496,6.517,0.612,0.641,0.892,1.048,0.997,0.602,0.505,0.707,0.801,0.578,0.572,0.53,0.597,0.637,0.688,0.695,0.578,0.482,0.681,0.742,0.69,0.53,0.706,0.509,0.409,0.573,0.518,0.574,0.661,0.673,0.638,0.707,0.762,0.554,0.506,0.496,0.536,0.533,0.439,655.781999999999,
verifyRigidFormula,0.517,1.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,949.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,1608.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.36,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.443,0.299,0.409,0.488,0.191,0.194,0.642,0.542,0.654,0.59,0.592,0.669,0.56,0.539,0.449,0.464,0.757,0.903,0.565,0.528,0.525,0.757,0.35,0.685,0.264,0.384,0.768,0.341,0.464,0.787,0.408,0.344,0.383,0.66,0.638,0.795,0.692,0.716,0.691,0.694,0.819,0.845,0.378,0.376,0.351,0.354,0.369,0.307,0.436,0.623,0.528,0.7,0.675,0.686,0.723,0.722,0.748,0.722,0.765,0.771,0.836,0.826,0.94,0.824,0.777,0.63,0.745,0.694,0.696,0.709,0.79,0.974,0.871,0.693,0.689,0.766,0.865,0.786,0.919,0.849,0.869,1.006,0.914,0.953,0.968,0.544,0.641,0.653,0.619,0.634,0.911,0.95,0.899,1.133,1.463,1.325,1.428,1.322,1.429,1.341,0.923,0.853,1.043,0.554,0.521,0.565,0.872,0.904,0.973,1.045,1.274,0.868,1.012,0.959,1.163,0.543,0.612,0.589,0.613,0.642,0.682,0.717,0.596,0.605,0.634,0.637,0.704,0.592,0.702,0.801,0.773,0.857,0.843,0.907,0.987,0.992,0.935,0.938,0.942,0.935,1.014,0.977,0.999,0.98,0.947,1.051,1.029,1.131,1.091,1.39,1.171,0.719,0.725,0.775,0.716,0.794,0.773,0.801,0.475,0.518,0.543,0.619,0.686,0.639,0.618,0.634,0.633,0.5,0.809,0.59,0.587,0.904,0.974,0.961,0.937,1.079,0.593,0.544,1.113,1.568,0.602,0.669,0.644,0.618,1.013,0.979,1.081,1.123,1.303,1.068,1.337,1.365,1.112,1.022,1.153,0.988,1.043,1.169,1.21,1.443,0.319,0.677,0.914,0.938,0.904,0.922,0.923,1.005,1.162,1.227,1.281,1.538,1.718,1.686,1.632,1.891,1.837,2.059,0.883,0.949,0.985,1.09,1.065,1.382,1.367,1.349,1.373,1.362,1.674,1.709,1.768,1.825,1.768,1.838,1.855,2.043,2.161,2.192,2.046,2.266,2.899,3.355,3.101,2.965,2.653,2.609,2.693,2.703,3.159,2.844,2.502,2.51,2.901,2.827,2.745,2.853,2.974,3.564,4.106,3.585,4.336,4.073,3.189,3.241,3.32,3.36,3.42,3.305,3.24,3.161,3.3,3.353,3.492,3.382,3.4,3.616,3.31,3.198,2.975,3.045,3.206,3.182,3.122,3.175,0.656,0.71,0.757,1.018,1.221,1.491,1.835,1.905,1.936,0.764,0.782,0.906,1.031,1.164,1.12,1.112,1.179,1.139,1.386,1.466,1.486,1.425,1.471,1.558,1.568,1.849,1.862,1.861,1.906,1.94,1.941,1.906,2.165,2.221,2.306,2.209,2.304,2.2,2.382,2.441,2.377,2.82,2.951,3.038,3.032,3.046,3.053,3.066,3.234,3.255,3.322,0.828,2.045,2.074,2.535,2.644,2.69,2.657,2.72,2.306,2.462,4.175,2.648,2.544,1.592,1.376,1.688,1.322,1.229,1.349,1.22,1.564,1.478,1.831,2.162,2.216,2.481,2.426,1.537,1.233,1.564,1.392,1.509,1.648,1.969,2.008,2.106,2.26,2.143,2.83,2.715,2.509,3.108,2.805,2.55,1.894,1.904,1.664,1.518,1.435,1.628,1.634,2.077,1.071,1.016,1.551,0.977,0.898,0.869,1.702,1.631,1.723,1.991,2.195,3.518,3.272,1.15,1.048,0.94,0.954,0.974,0.964,1.628,1.66,1.71,1.628,1.82,3.041,3.49,4.54,4.451,4.326,4.322,2.422,2.519,2.532,2.665,2.591,2.612,2.961,3.003,3.184,3.315,3.297,3.324,3.782,3.778,3.838,4.062,3.896,3.935,0.962,2.604,2.763,2.815,2.835,2.743,2.729,2.698,2.768,2.85,2.861,2.837,2.855,2.822,2.821,3.094,4.242,3.084,3.364,3.108,2.783,3.679,3.378,2.898,3.202,3.358,1.078,4.247,3.844,4.195,4.889,4.176,5.009,4.551,4.31,4.481,4.749,4.568,4.547,4.485,4.802,5.024,4.814,4.872,5.054,5.095,5.208,5.303,5.261,5.296,4.571,4.59,4.612,5.163,5.026,5.005,5.018,4.924,5.261,5.25,4.704,4.727,4.713,4.89,4.931,4.897,4.724,4.687,948.146000000001
