findFlexsVals,63.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,1.043,1.034,1.556,0.914,0.896,0.394,0.98,1.614,1.736,1.51,1.405,1.661,2.005,1.723,0.986,1.068,1.868,1.155,1.047,1.751,1.601,1.804,1.661,1.611,1.084,1.075,1.672,1.606,1.771,1.092,1.693,1.251,0.983,1.72,1.76,1.789,1.778,1.686,1.183,1.105,1.694,2.044,1.731,1.812,63.552,
verifyRigidFormula,2.391,1.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,450.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,518.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,1.967,1.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,6.955,6.646,7.012,7.199,7.628,7.529,8.081,8.43,8.754,9.033,9.134,8.778,8.934,9.414,9.793,9.769,9.945,9.319,9.423,9.392,9.965,10.004,10.651,10.302,10.36,9.836,9.312,9.638,10.086,10.712,11.913,10.96,11.593,11.185,11.426,11.679,11.665,11.638,11.862,12.602,12.734,11.948,12.214,12.755,12.466,450.674
