findFlexsVals,171.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.386,0.288,0.905,0.922,0.577,0.684,0.461,0.378,0.18,0.467,0.136,0.416,0.382,0.155,0.172,0.151,0.165,0.173,0.151,0.144,0.521,0.905,0.485,0.379,0.43,0.365,0.614,0.579,0.389,0.352,0.338,0.911,0.171,0.143,0.499,0.163,0.942,0.885,0.384,0.424,0.394,0.137,0.861,0.218,0.141,0.389,0.368,0.159,0.428,0.571,0.314,0.512,0.427,0.526,0.541,0.913,0.465,0.513,0.497,0.555,0.395,0.388,0.341,0.46,0.562,0.906,1.033,1.002,0.865,0.384,0.37,0.612,0.976,0.878,0.891,0.869,0.888,0.522,0.604,0.873,0.369,0.504,0.53,0.541,0.483,0.158,0.291,0.161,0.299,0.986,0.843,0.932,0.873,0.633,0.969,0.871,0.8,0.505,0.914,0.544,0.537,0.186,0.603,0.885,0.507,0.532,0.617,1.066,0.936,0.978,0.14,0.454,0.52,0.484,0.56,0.591,0.606,0.615,0.496,0.598,0.524,0.82,0.542,0.863,0.441,0.96,1.026,0.577,0.535,0.437,0.541,0.936,0.939,0.307,0.161,0.987,0.573,0.521,0.529,0.939,0.901,0.9,0.164,0.145,0.344,0.408,0.864,0.36,0.381,0.528,0.988,0.581,0.492,0.56,0.624,0.384,0.734,0.332,0.913,0.501,0.507,0.951,0.939,0.503,0.524,0.522,0.444,0.52,0.526,0.529,0.409,0.146,0.352,0.193,0.521,0.514,0.618,0.499,0.614,0.495,0.853,0.373,0.677,0.427,0.533,0.475,0.928,0.455,0.395,0.364,0.861,0.474,0.598,0.952,0.531,0.534,0.532,0.523,0.636,0.432,0.454,0.485,0.678,0.459,0.954,0.473,0.485,0.551,0.545,0.388,0.565,0.414,0.442,0.492,0.933,0.963,0.908,0.91,0.529,0.522,0.223,0.444,0.465,1.011,0.846,0.365,0.898,0.302,0.513,0.934,0.802,0.881,0.942,0.955,0.536,0.459,0.448,0.531,0.411,0.561,0.294,0.514,0.51,0.942,0.877,0.622,0.508,0.878,0.919,0.365,0.886,0.993,1.104,0.888,0.976,0.897,0.835,0.519,0.542,0.638,0.476,0.497,0.909,0.581,0.627,0.821,0.84,0.686,0.882,0.475,0.433,0.446,0.968,0.985,0.833,0.55,0.429,0.474,0.512,0.477,0.415,0.492,0.426,0.442,0.618,0.501,0.476,0.898,0.914,0.986,0.683,0.478,0.416,0.418,0.431,171.057,
verifyRigidFormula,0.298,0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,243.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,415.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.154,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.418,0.418,0.427,0.378,0.468,0.466,0.527,0.229,0.375,0.395,0.528,0.18,0.377,0.384,0.354,0.362,0.374,0.409,0.427,0.384,0.418,0.426,0.327,0.545,0.552,0.213,0.163,0.178,0.178,0.241,0.236,0.342,0.475,0.505,0.148,0.386,0.665,0.67,0.488,0.273,0.477,0.466,0.372,0.381,0.48,0.525,0.467,0.521,0.558,0.565,0.537,0.357,0.312,0.496,0.417,0.445,0.485,0.489,0.452,0.474,0.498,0.495,0.502,0.502,0.556,0.586,0.585,0.566,0.617,0.64,0.638,0.594,0.569,0.576,0.575,0.558,0.544,0.549,0.543,0.591,0.605,0.625,0.694,0.684,0.648,0.683,0.696,0.642,0.634,0.676,0.659,0.699,0.758,0.755,0.632,0.664,0.638,0.617,0.778,0.713,0.735,0.657,0.376,0.688,0.687,0.745,0.766,0.824,0.692,0.806,0.755,0.834,0.813,0.883,0.757,0.843,0.763,0.769,0.719,0.744,0.534,0.565,0.479,0.495,0.501,0.644,0.631,0.648,0.659,0.674,0.634,0.668,0.651,0.78,0.638,0.701,0.771,0.703,0.785,0.744,0.766,0.753,0.773,0.815,0.816,0.849,0.695,0.734,0.746,0.894,0.795,1.112,1.111,1.194,1.151,0.989,1.028,0.474,0.538,0.443,0.467,0.546,0.545,0.575,0.589,0.594,0.544,0.6,0.626,0.645,0.732,0.746,0.688,0.773,0.46,0.568,0.382,0.542,0.61,0.582,0.658,0.301,0.701,0.676,0.65,0.186,0.259,0.492,0.47,0.473,0.542,0.57,0.609,0.574,0.659,0.632,0.663,0.681,0.627,0.617,0.666,0.692,0.674,0.742,0.77,0.699,0.691,0.724,0.738,0.766,0.781,0.778,0.781,0.773,0.848,0.607,0.75,0.956,0.779,0.778,1.013,1.113,1.173,1.285,1.27,1.289,1.272,1.369,1.191,1.286,1.302,1.192,1.156,1.258,1.198,1.228,1.213,1.214,1.208,1.406,1.428,1.34,1.504,1.323,1.376,1.391,1.43,1.49,1.5,1.554,1.56,1.548,1.596,1.663,1.647,1.686,1.838,2.099,2.033,1.886,1.755,1.846,1.808,1.848,1.936,2.047,0.925,0.788,0.834,1.176,1.319,1.211,1.511,1.305,1.184,1.323,1.331,1.358,1.354,1.537,1.606,1.561,1.317,1.311,1.495,1.851,1.565,2.073,1.036,1.606,1.714,1.913,2.162,1.858,1.738,1.748,243.131
