findFlexsVals,84.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.589,0.515,0.49,0.166,0.137,0.321,0.302,0.28,0.579,0.544,0.323,0.32,0.535,0.503,0.145,0.455,0.509,0.551,0.547,0.395,0.547,0.483,0.507,0.54,0.508,0.422,0.195,0.487,0.529,0.494,0.56,0.489,0.145,0.343,0.157,0.12,0.463,0.356,0.599,0.614,0.522,0.545,0.466,0.517,0.384,0.383,0.157,0.138,0.155,0.371,0.158,0.137,0.303,0.159,0.603,0.554,0.544,0.535,0.394,0.52,0.465,0.36,0.433,0.419,0.421,0.378,0.388,0.401,0.409,0.385,0.415,0.519,0.406,0.462,0.427,0.468,0.287,0.131,0.176,0.51,0.618,0.563,0.637,0.764,0.782,0.63,0.704,0.758,0.487,0.726,0.615,0.356,0.601,0.201,0.519,0.445,0.339,0.371,0.509,0.621,0.651,0.646,0.216,0.629,0.523,0.619,0.67,0.702,0.534,0.389,0.135,0.405,0.513,0.364,0.349,0.517,0.477,0.49,0.172,0.169,0.482,0.376,0.344,0.404,0.324,0.514,0.268,0.591,0.524,0.172,0.498,0.378,0.342,0.565,0.501,0.525,0.36,0.37,0.494,0.493,0.542,0.468,0.348,0.393,0.39,0.502,0.417,0.66,0.585,0.31,0.149,0.149,0.55,0.475,0.49,0.518,0.533,0.556,0.385,0.317,0.541,0.485,0.427,0.446,0.438,0.438,0.409,0.474,0.348,0.353,0.425,0.428,0.421,0.423,0.171,0.479,0.338,0.41,0.347,0.498,0.343,0.413,0.613,0.585,0.507,0.385,0.409,0.549,0.508,0.512,0.544,0.16,0.498,0.527,0.163,84.862,
verifyRigidFormula,0.245,0.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,156.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.083,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.11,0.207,0.309,0.096,0.179,0.174,0.238,0.242,0.214,0.218,0.211,0.232,0.188,0.2,0.171,0.128,0.146,0.174,0.138,0.174,0.293,0.196,0.235,0.263,0.198,0.299,0.338,0.345,0.312,0.312,0.291,0.342,0.084,0.086,0.147,0.142,0.121,0.165,0.174,0.205,0.162,0.181,0.175,0.19,0.209,0.264,0.209,0.205,0.208,0.103,0.098,0.11,0.101,0.142,0.155,0.134,0.136,0.172,0.183,0.237,0.18,0.266,0.283,0.273,0.268,0.268,1.792,0.301,0.278,0.299,0.29,0.305,0.295,0.317,0.28,0.273,0.329,0.353,0.153,0.186,0.217,0.269,0.254,0.285,0.316,0.298,0.266,0.287,0.273,0.289,0.319,0.269,0.288,0.294,0.31,0.304,0.306,0.315,0.313,0.312,0.322,0.326,0.331,0.363,0.332,0.332,0.33,0.334,0.344,0.36,0.334,0.193,0.25,0.255,0.239,0.24,0.261,0.244,0.276,0.277,0.283,0.315,0.312,0.288,0.315,0.186,0.245,0.291,0.22,0.24,0.292,0.269,0.291,0.319,0.369,0.343,0.318,0.356,0.389,0.3,0.312,0.35,0.308,0.333,0.332,0.448,0.439,0.443,0.44,0.547,0.553,0.549,0.591,0.582,0.596,0.571,0.573,0.584,0.574,0.571,0.635,0.552,0.588,0.598,0.554,0.607,0.58,0.546,0.554,0.565,0.556,0.562,0.584,0.564,0.581,0.615,0.57,0.697,0.588,0.62,0.289,0.704,0.765,0.683,0.714,0.775,0.756,0.747,0.72,0.758,0.771,0.948,1.03,1.078,1.253,1.273,71.004
