findFlexsVals,95.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.168,0.191,0.162,0.634,0.612,0.717,0.744,0.159,0.227,0.601,0.202,0.634,0.591,0.15,0.194,0.237,0.184,0.212,0.213,0.226,0.249,0.181,0.198,0.189,0.298,0.653,0.637,0.221,0.17,0.195,0.143,0.166,0.157,0.146,0.814,0.528,0.806,0.227,0.239,0.277,0.599,1.162,1.081,1.178,0.21,0.2,0.212,0.155,0.168,0.225,0.306,0.333,0.374,0.905,0.671,0.686,0.299,0.845,0.599,0.26,0.676,0.349,0.376,0.247,0.23,0.974,0.374,0.354,0.161,0.242,0.208,0.178,0.866,0.923,0.834,1.082,0.862,0.136,0.731,0.78,0.141,0.824,1.026,1.231,0.839,0.343,0.671,0.581,1.113,0.72,0.273,0.657,0.588,0.6,0.15,0.181,0.317,0.752,0.172,0.18,0.197,0.22,0.333,0.603,0.69,0.596,0.7,0.308,0.318,0.779,0.739,0.305,0.606,0.68,0.712,0.595,0.32,0.309,0.655,0.658,0.826,0.291,0.171,1.132,0.884,0.899,0.219,0.237,0.442,0.169,0.179,0.853,0.354,0.266,0.91,0.621,0.994,0.594,0.71,0.59,0.302,0.31,0.327,0.782,0.197,0.54,0.233,0.246,0.483,1.163,1.135,0.937,0.43,0.265,0.436,1.154,0.956,0.624,0.669,0.291,0.821,0.96,0.953,0.959,0.62,0.98,0.298,0.413,0.575,0.458,0.954,0.952,0.686,0.984,1.06,1.15,0.673,0.641,0.203,0.709,0.787,0.203,95.1450000000001,
verifyRigidFormula,0.263,0.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,142.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,238.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.087,0.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.139,0.324,0.563,0.556,0.674,0.664,0.686,0.541,0.524,0.639,0.45,0.47,0.486,0.504,0.546,0.553,0.574,0.599,0.475,0.494,0.488,0.291,0.357,0.389,0.374,0.391,0.376,0.44,0.449,0.511,0.536,0.448,0.161,0.228,0.326,0.292,0.373,0.396,0.409,0.507,0.515,0.543,0.561,0.532,0.538,0.537,0.583,0.595,0.479,0.373,0.407,0.398,0.399,0.474,0.483,0.483,0.41,0.479,0.484,0.497,0.512,0.523,0.479,0.432,0.464,0.489,0.653,0.55,0.635,0.642,0.648,0.655,0.644,0.639,0.627,0.64,0.675,0.815,0.766,0.653,0.7,1.017,1.028,1.033,1.027,1.046,1.176,1.12,1.115,1.112,0.472,0.547,0.549,0.62,0.617,0.693,0.739,0.724,0.891,0.898,0.927,0.94,0.988,0.663,0.61,0.614,0.622,0.608,0.617,0.608,0.62,0.593,0.599,0.605,0.615,0.65,0.659,0.649,0.648,0.626,0.64,0.634,0.689,0.501,0.51,0.518,0.546,0.592,0.6,0.645,0.731,0.781,1.085,0.972,0.808,0.838,0.83,0.844,0.99,0.96,1.083,1.134,1.162,1.167,1.187,1.29,1.456,1.463,1.357,1.082,1.055,1.043,1.057,1.088,1.106,1.164,1.128,1.145,1.112,1.659,1.653,1.653,1.664,1.632,0.692,0.716,0.919,1.042,0.938,0.945,1.365,1.435,1.391,1.603,1.519,1.582,1.585,1.583,1.749,1.757,1.807,1.793,1.881,142.255
