findFlexsVals,37.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.168,0.333,0.307,0.309,0.206,0.365,0.296,0.343,0.399,0.35,0.502,0.364,0.232,0.163,0.169,0.161,0.193,0.155,0.188,0.2,0.15,0.169,0.322,0.425,0.242,0.17,0.175,0.16,0.328,0.249,0.295,0.337,0.409,0.483,0.159,0.223,0.404,0.344,0.201,0.197,0.304,0.278,0.133,0.209,0.276,0.308,0.276,0.191,0.212,0.162,0.308,0.221,0.373,0.178,0.225,0.174,0.168,0.196,0.214,0.147,0.164,0.215,0.146,0.158,0.233,0.155,0.377,0.174,0.213,0.169,0.285,0.332,0.259,0.189,0.273,0.141,0.217,0.137,0.145,0.211,0.305,0.298,0.327,0.276,0.275,0.164,0.277,0.265,0.288,0.263,0.356,0.187,0.2,0.326,0.312,0.337,0.313,0.309,0.323,0.21,0.171,0.216,0.142,0.299,0.327,0.245,0.286,0.192,0.166,0.388,0.189,0.164,0.17,0.373,0.387,0.179,0.35,0.277,0.334,0.276,0.313,0.288,0.393,0.395,0.323,0.275,0.2,0.303,0.271,0.312,0.267,0.269,0.239,0.344,0.356,0.237,0.345,0.322,0.264,0.323,0.328,0.292,36.992,
verifyRigidFormula,0.304,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,55.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,93.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.096,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.249,0.233,0.228,0.177,0.173,0.171,0.202,0.179,0.154,0.153,0.191,0.189,0.181,0.176,0.22,0.225,0.35,0.261,0.318,0.356,0.371,0.061,0.149,0.167,0.263,0.258,0.299,0.357,0.353,0.402,0.353,0.458,0.404,0.414,0.444,0.218,0.167,0.185,0.226,0.279,0.322,0.302,0.504,0.176,0.283,0.199,0.227,0.187,0.247,0.242,0.264,0.23,0.256,0.072,0.079,0.09,0.113,0.116,0.162,0.16,0.171,0.204,0.252,0.172,0.182,0.188,0.179,0.257,0.212,0.249,0.265,0.241,0.264,0.233,0.342,0.289,0.303,0.302,0.339,0.426,0.395,0.454,0.487,0.417,0.427,0.466,0.464,0.397,0.45,0.461,2.253,0.491,0.389,0.387,0.323,0.301,0.411,0.373,0.362,0.327,0.392,0.359,0.356,0.348,0.357,0.346,0.344,0.353,0.381,0.464,0.421,0.404,0.411,0.483,0.493,0.427,0.45,0.511,0.638,0.641,0.707,0.758,0.428,0.446,0.538,0.451,0.534,0.561,0.612,0.601,0.606,0.67,0.837,0.813,0.882,0.862,0.877,0.881,0.894,0.936,0.972,0.971,1.005,54.971
