findFlexsVals,43.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prismCheck,0.633,0.527,0.529,0.556,0.519,0.579,0.541,0.534,0.726,0.388,0.534,0.457,0.391,0.492,0.416,0.513,0.461,0.467,0.5,0.455,0.42,0.599,0.53,0.529,0.713,0.521,0.402,0.417,0.477,0.447,0.404,0.423,0.51,0.318,0.514,0.365,0.663,0.526,0.499,0.423,0.61,0.669,0.565,0.583,0.59,0.565,0.56,0.609,0.578,0.398,0.525,0.501,0.516,0.375,0.372,0.396,0.462,0.546,0.587,0.524,0.532,0.453,0.543,0.641,0.544,0.459,0.524,0.607,0.282,0.402,0.404,0.525,0.415,0.42,0.612,0.527,0.561,0.573,0.556,0.602,0.632,0.34,0.562,0.533,0.561,0.412,43.671,
verifyRigidFormula,0.181,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
findModels,22.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new PrismPlugin,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verifyNonRigidFormula,66.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-check,0.044,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z3-modelfind,0.085,0.07,0.082,0.087,0.069,0.078,0.111,0.112,0.116,0.132,0.143,0.106,0.166,0.266,0.09,0.089,0.093,0.093,0.09,0.097,0.105,0.177,0.179,0.204,0.175,0.24,0.281,0.315,0.224,0.21,0.21,0.214,0.095,0.108,0.157,0.182,0.191,0.251,0.274,0.254,0.226,0.254,0.233,0.215,0.219,0.217,0.255,0.29,0.375,0.38,0.228,0.241,0.23,0.294,0.222,0.275,0.199,0.209,0.196,0.266,0.267,0.195,0.257,0.279,0.262,0.276,0.324,0.281,0.317,0.196,0.176,0.343,0.364,0.41,0.38,0.407,0.313,0.352,0.312,0.32,0.405,0.374,0.528,0.474,0.567,0.56,0.525,20.709
